Github Project,Star
firebase/superstatic,857
minwe/jetbrains-react,856
local-npm/local-npm,856
linesh-simplicity/translation-spring-mvc-4-documentation,856
mikemintz/react-rethinkdb,855
fabianlindfors/multi.js,855
symfony/webpack-encore,855
isnowfy/simple,855
gfranko/jquery.tocify.js,854
digitalbazaar/jsonld.js,854
AnyChart/GraphicsJS,854
thlorenz/v8-perf,854
miloyip/nativejson-benchmark,854
mafintosh/turbo-http,854
dashersw/cote,853
metafloor/bwip-js,853
gajus/eslint-plugin-flowtype,853
leizongmin/node-segment,853
julien-lafont/Mocky,853
nimiq-network/core,852
microstates/microstates.js,850
iamcal/js-emoji,850
tdegrunt/jsonschema,849
creationix/howtonode.org,849
kriasoft/isomorphic-style-loader,849
blakeembrey/pluralize,849
sysgears/apollo-universal-starter-kit,849
jeromelachaud/freelancer-theme,848
zzarcon/microm,848
gxvv/ex-baiduyunpan,848
yahoo/blink-diff,848
ConsenSys/eth-lightwallet,847
tj/node-migrate,847
mozilla/openbadges-backpack,846
ComputerWolf/SlickNav,846
jashkenas/coffee-script-tmbundle,843
xwiki-labs/cryptpad,843
sliptree/bootstrap-tokenfield,843
patriksimek/vm2,842
eiriklv/react-masonry-component,842
moroshko/rxviz,841
ctrlplusb/react-sizeme,839
sxei/pinyinjs,839
gruntjs/grunt-contrib-sass,838
OneSignal/emoji-picker,838
muan/emojilib,838
nicolaspanel/numjs,837
coderaiser/cloudcmd,836
neumino/rethinkdbdash,836
dareid/chakram,836
matheuss/google-translate-api,835
GladysProject/Gladys,835
ericelliott/rtype,834
alexadam/save-as-ebook,834
rgommezz/react-native-offline,834
MicheleBertoli/react-automata,833
skaterdav85/validatorjs,833
meteor-factory/react-native-tinder-swipe-cards,833
yishn/tikzcd-editor,833
Glench/fuzzyset.js,833
gulpjs/gulp-util,833
EthanRBrown/web-development-with-node-and-express,832
denisraslov/react-spreadsheet-grid,832
alssndro/sandros-sketch-plugins,831
CVarisco/create-component-app,831
webpack-contrib/uglifyjs-webpack-plugin,830
funretro/distributed,830
msavin/Mongol-meteor-devtools,830
jscad/OpenJSCAD.org,830
leebyron/testcheck-js,829
WebPlatformTest/HTML5test,829
Marak/say.js,829
Leaflet/Leaflet.heat,827
crocodic-studio/crudbooster,826
ded/domready,826
mafintosh/is-my-json-valid,826
tc39/test262,826
greggman/twgl.js,825
mapbox/geojson-vt,825
amplitude/redux-query,825
egoist/saber.js,825
alexmojaki/birdseye,824
VeliovGroup/Meteor-Files,824
muan/github-gmail,823
ember-fastboot/ember-cli-fastboot,823
matfish2/vue-tables-2,823
phodal/booktree,822
dollarshaveclub/postmate,822
alanshaw/david,822
mrvautin/expressCart,821
yeoman/generator,821
Starcounter-Jack/JSON-Patch,821
bbc/peaks.js,820
PaulGuo/Juicer,820
hbi99/defiant.js,820
cam-inc/viron,819
j3k0/cordova-plugin-purchase,818
radi-js/radi,818
sindresorhus/on-change,818
parse-community/Parse-SDK-JS,818
AmpersandJS/ampersand,817
mrpandey/d3graphTheory,816
fraserxu/electron-pdf,816
kisenka/svg-sprite-loader,816
mjackson/mach,816
chrisbolin/react-detect-offline,816
stevenbenner/jquery-powertip,815
chrispsn/mesh,815
da2k/curso-javascript-ninja,815
ytiurin/html5tooltipsjs,815
assetgraph/assetgraph,815
james-proxy/james,814
axemclion/IndexedDBShim,814
paradoxxxzero/gnome-shell-system-monitor-applet,814
cnodejs/egg-cnode,814
pusher/react-slack-clone,813
adamschwartz/chrome-tabs,812
developit/preact-boilerplate,812
johnagan/clean-webpack-plugin,811
fcapano/Edit-This-Cookie,809
googleanalytics/ga-dev-tools,809
planttheidea/fast-copy,809
ecmadao/hacknical,809
tencentyun/wafer2-startup,809
jakubfiala/atrament.js,809
isaacs/sax-js,808
fex-team/ua-device,808
indutny/node-ip,808
ParticleCore/Iridium,808
bubenshchykov/ngrok,807
fossasia/open-event-webapp,807
mafintosh/hypercore,806
anarchicknight/react-native-communications,806
petecoop/generator-express,805
h5bp/html5please,805
remy/inliner,804
ljunb/react-native-iShiWuPai,804
mridgway/hoist-non-react-statics,804
jamesarosen/ember-i18n,804
yoshuawuyts/vmd,803
eveningkid/reacto,803
ericelliott/react-pure-component-starter,803
pantsel/konga,803
wireapp/wire-webapp,802
jmosbech/StickyTableHeaders,802
GoogleChromeLabs/clooney,801
felixrieseberg/React-Dropzone-Component,801
freeciv/freeciv-web,801
alexkuz/react-json-tree,801
bvaughn/react-virtualized-select,801
mmazzarolo/react-native-modal-datetime-picker,801
reactabular/reactabular,801
joewalnes/filtrex,800
samselikoff/ember-cli-mirage,800
sentsin/laydate,800
interactivethings/catalog,800
flozz/StackBlur,799
gulpjs/vinyl-fs,799
nickmerwin/node-coveralls,799
dai-siki/vue-image-crop-upload,798
foam-framework/foam,798
yanhaijing/template.js,798
eslint/espree,798
esimakin/twbs-pagination,796
senshu/Sozi,796
domchristie/humps,796
fitzgen/wu.js,795
itgoyo/Aria2,795
dvdciri/daggraph,795
Song-Li/cross_browser,795
heroku/node-js-sample,795
medikoo/memoizee,794
nikolaeu/Numi-extensions,794
notadd/neditor,793
glenjamin/ultimate-hot-reloading-example,793
kamilkp/angular-vs-repeat,793
jasonmayes/Twitter-Post-Fetcher,793
react-d3-library/react-d3-library,793
baryon/tracer,793
jippi/hashi-ui,792
mholt/curl-to-go,791
hilongjw/vue-progressbar,790
Addepar/ember-charts,790
jondot/ReactNativeKatas,790
KyleAMathews/react-headroom,789
saintedlama/passport-local-mongoose,788
lodash/lodash-webpack-plugin,788
video-react/video-react,787
diegohaz/rest,786
miguelcobain/ember-paper,786
c9/architect,786
asciidwango/js-primer,785
mapmeld/gitjk,785
edsu/anon,785
dgrubelic/vue-authenticate,784
higgsjs/Higgs,784
dailydrip/firestorm,783
junedomingo/react-native-rename,782
FaridSafi/react-native-google-places-autocomplete,782
steveukx/git-js,781
Wanderxx/vue-fullcalendar,781
proj4js/proj4js,780
workco/marvin,779
JamieMason/shrinkpack,778
lisong/code-push-server,778
bustle/mobiledoc-kit,777
tshaddix/react-chrome-redux,777
Formstone/Formstone,777
datastax/nodejs-driver,777
gre/bezier-easing,777
prettier/eslint-config-prettier,777
nareix/mama-hd,776
maticzav/emma-cli,776
bobiscool/wxDraw,776
jonathantneal/postcss-font-magician,776
JedWatson/react-tappable,776
acss-io/atomizer,775
asapach/peerflix-server,775
cornerstonejs/cornerstone,775
esterTion/Youku-HTML5-Player,775
DataTables/Plugins,774
maxogden/mississippi,774
ericvicenti/intro-to-react,773
ChromeDevTools/devtools-frontend,772
tshelburne/redux-batched-actions,772
nuxt/webpackbar,772
datarhei/restreamer,772
jeanregisser/react-native-slider,772
threepointone/markdown-in-js,771
hyy1115/react-latest-framework,771
skidding/flatris,771
cpojer/js-codemod,771
webpack-contrib/eslint-loader,771
anandthakker/doiuse,769
frappe/gantt,769
smooth-code/loadable-components,769
auth0/lock,768
websiddu/sketch-material,768
staltz/prevent-smoosh,767
tristen/tablesort,767
InfiniteAmmoInc/Yarn,767
edusoho/edusoho,767
antimatter15/jsgif,767
watsonbox/exportify,766
ant-design/ant-ux,766
martinsbalodis/web-scraper-chrome-extension,766
chrisben/imgcache.js,765
mozilla/node-convict,764
volumio/Volumio2,764
browserpass/browserpass,763
zofe/rapyd-laravel,762
GoogleChromeLabs/puppeteer-examples,762
WebReflection/dom4,762
klei/gulp-inject,762
Vestorly/torii,762
bmcbride/bootleaf,762
autoNumeric/autoNumeric,761
TheHive-Project/TheHive,760
adriantoine/enzyme-to-json,760
crobertsbmw/deckofcards,760
salesforce-ux/theo,760
MatteoGabriele/vue-analytics,760
ganlanyuan/tiny-slider,759
isaacs/node-graceful-fs,758
callstack/linaria,758
serverless-heaven/serverless-webpack,756
vue-styleguidist/vue-styleguidist,756
brockpetrie/vue-moment,755
hyperfuse/react-anime,754
liutao/vue2.0-source,754
orionjs/orioncms,754
naugtur/xhr,753
producthunt/chai-enzyme,753
aurelia/skeleton-navigation,753
ztoben/assets-webpack-plugin,753
codrops/ParticleEffectsButtons,753
xolvio/chimp,753
apollographql/graphql-tag,753
suziwen/markdownxiaoshujiang,752
hughsk/flat,752
ByronHsu/life-commit,751
testshallpass/react-native-dropdownalert,751
zzak/sdoc,751
kentcdodds/advanced-react-patterns-v2,751
maierfelix/Iroh,750
crossfilter/crossfilter,750
Plortinus/vue-multiple-pages,750
clippings/layout-grid,750
frostney/react-native-create-library,749
voilet/cmdb,748
jvandemo/generator-angular2-library,748
devunt/make-gis-great-again,747
koajs/jwt,747
n-riesco/ijavascript,747
mattermost/desktop,747
FaisalUmair/udemy-downloader-gui,746
robinparisi/tingle,746
puppetlabs/showoff,746
FezVrasta/react-popper,746
IBM-Blockchain/marbles,745
zhengguorong/maizuo,745
react-component/form,745
StephenGrider/EthereumCasts,743
LeaVerou/dabblet,742
zone117x/node-open-mining-portal,742
sequelize/umzug,742
mapbox/togeojson,742
dharmafly/noodle,741
bjornharrtell/jsts,741
jmhobbs/cultofthepartyparrot.com,740
nodejs/nodejs.org,739
margox/braft-editor,738
academicpages/academicpages.github.io,738
ATF19/react-native-shop-ui,738
igor-alexandrov/wiselinks,737
strongloop/strong-pm,737
webpack-contrib/karma-webpack,736
kamranahmedse/jquery-toast-plugin,736
mthenw/frontail,736
skanaar/nomnoml,736
jasperapp/jasper,735
jfhbrook/node-ecstatic,734
moeiscool/Shinobi,733
iamjoel/front-end-plugins,733
foxhound87/mobx-react-form,733
bojand/mailgun-js,732
dawson-org/dawson-cli,732
euvl/vue-notification,732
substance/texture,732
felixrieseberg/ember-electron,731
mscdex/node-ftp,730
jish/pre-commit,730
webtorrent/bittorrent-dht,730
firesunCN/BlueLotus_XSSReceiver,730
ariutta/svg-pan-zoom,730
nfroidure/gulp-iconfont,730
rviscomi/trunk8,729
meteor-vue/vue-meteor,729
idyll-lang/idyll,729
hyperandroid/CAAT,729
spohlenz/tinymce-rails,728
standardnotes/web,728
smallwins/slack,727
ream/ream,727
node-pcap/node_pcap,727
3Dparallax/insight,727
revivek/oy,726
troybetz/react-youtube,726
ostera/tldr.jsx,724
diegohaz/reakit,724
vesparny/fair-analytics,724
scality/S3,724
wesbos/Learn-Node,724
gruntjs/grunt-contrib-jshint,723
FineLinePrototyping/angularjs-rails-resource,723
fynyky/reactor.js,722
tars/tars,722
inikulin/publish-please,722
electron-userland/electron-json-storage,722
schrodinger/fixed-data-table-2,722
cassidoo/todometer,722
strukturag/spreed-webrtc,722
nickberens360/atomic-docs,721
apache/cordova-plugin-inappbrowser,721
FileNation/FileNation,721
nkbt/react-copy-to-clipboard,720
joyent/node-verror,720
kevva/download,720
loganfsmyth/babel-plugin-transform-decorators-legacy,719
allegro/tipboard,719
mongoosastic/mongoosastic,719
pinterest/bonsai,719
sindresorhus/emittery,718
Oblosys/react-lifecycle-visualizer,717
webpro/DOMtastic,716
kentcdodds/babel-plugin-preval,716
Aerolab/blockrain.js,716
micro-analytics/micro-analytics-cli,715
omnidan/redux-ignore,715
alibaba/bindingx,715
NeilFraser/JS-Interpreter,714
unpkg/unpkg.com,714
IdentityServer/IdentityServer4.Samples,714
game-helper/weixin,713
JedWatson/react-hammerjs,713
postcss/postcss-import,713
manu354/cryptocurrency-arbitrage,713
rnosov/react-reveal,712
lelylan/simple-oauth2,712
cthackers/adm-zip,711
roadmanfong/react-cropper,711
jamesmfriedman/rmwc,711
lonelyplanet/rizzo,711
cwilso/PitchDetect,710
petervmeijgaard/vue-2-boilerplate,710
ubilabs/react-geosuggest,710
webpro/dyson,710
SchizoDuckie/DuckieTV,710
kyle8998/Vynchronize,709
apache/cordova-plugin-camera,709
wellyshen/react-cool-starter,708
JSBros/hedron,708
ResponsiveBP/Responsive,708
syt123450/giojs,708
y-js/yjs,707
thieman/github-selfies,707
mapbox/earcut,706
ten1seven/what-input,706
entwicklerstube/babel-plugin-root-import,706
lock-upme/OPMS,706
christian-fei/Simple-Jekyll-Search,706
gmrchk/swup,706
gruntjs/grunt-contrib-less,706
xlsdg/vue-echarts-v3,705
stephomi/sculptgl,705
tbranyen/diffhtml,704
sanniassin/react-input-mask,703
vvo/selenium-standalone,703
atulmy/fullstack-graphql,703
SangKa/react-in-patterns-cn,703
Diokuz/baron,702
zone117x/node-cryptonote-pool,702
sindresorhus/file-type,701
chenhuiYj/ec-do,701
nkbt/react-collapse,701
eisbehr-/jquery.lazy,701
stylelint/stylelint-config-standard,699
snaptortoise/konami-js,699
commonmark/commonmark.js,699
mmckegg/loop-drop-app,699
hizzgdev/jsmind,698
jpush/jpush-phonegap-plugin,698
catamphetamine/libphonenumber-js,698
ericmdantas/generator-ng-fullstack,698
koajs/bodyparser,698
Hacklone/private-bower,698
rosiejs/rosie,697
FortAwesome/react-fontawesome,696
videojs/videojs-youtube,696
erikras/redux-form-material-ui,696
andreassolberg/jso,695
RossMcMillan92/djent,695
electron/windows-installer,694
buckyroberts/React-Redux-Boilerplate,694
nadangergeo/RWD-Table-Patterns,693
mwaylabs/generator-m-ionic,693
Ebookcoin/ebookcoin,693
stratiformltd/react-loadable-visibility,692
developit/preact-compat,692
rndme/download,692
nefe/number-precision,692
appleple/SmartPhoto,692
prebid/Prebid.js,692
tobloef/text2mindmap,692
codemix/flow-runtime,692
leocaseiro/angular-chosen,691
miukimiu/react-kawaii,691
agnat/node_mdns,691
fivdi/onoff,690
dominictarr/rc,690
wireapp/wire-desktop,690
brandonwamboldt/varnish-dashboard,690
writethedocs/www,690
janodvarko/harviewer,689
skilldrick/easy6502,689
unsplash/unsplash-js,688
sindresorhus/p-progress,688
flickr/yakbak,688
jorgebucaran/classcat,688
zbtang/React-Native-ViewPager,688
sindresorhus/globby,687
twilio/twilio-node,687
3rd-Eden/useragent,685
nodesecurity/eslint-plugin-security,685
IceEnd/Yosoro,685
matreshkajs/matreshka,685
dwyl/learn-travis,684
webpack-contrib/compression-webpack-plugin,684
prakhar1989/react-tags,683
nodeschool/nodeschool.github.io,683
imaya/zlib.js,682
fengyuanchen/datepicker,682
25th-floor/spected,682
josephg/noisejs,681
mkhairi/materialize-sass,681
keen/explorer,681
jantimon/favicons-webpack-plugin,680
deanmcpherson/react-native-sortable-listview,680
booktype/Booktype,680
koajs/static,680
algolia/autocomplete.js,680
facundoolano/google-play-scraper,679
ianstormtaylor/react-values,679
transform-it/transform-www,678
neocotic/qrious,678
fcwu/docker-ubuntu-vnc-desktop,678
cognitect/transit-js,678
calzoneman/sync,677
bamlab/generator-rn-toolbox,676
liriliri/licia,676
madgex/lazy-ads,675
NectarJS/nectarjs,675
brh55/react-native-masonry,675
filipedeschamps/cep-promise,675
mbrochh/django-reactjs-boilerplate,674
davglass/license-checker,673
twolfson/spritesmith,673
Microsoft/computerscience,673
dwyl/the-book,673
glowing-bear/glowing-bear,673
jaywcjlove/iNotify,672
sbycrosz/react-native-credit-card-input,672
thegrubbsian/jquery.ganttView,672
MuYunyun/reactSPA,672
webtorrent/bittorrent-tracker,672
hybridsjs/hybrids,672
ktquez/vue-head,672
alexa/skill-sample-nodejs-fact,671
alemangui/pizzicato,671
wheresrhys/fetch-mock,671
smooth-code/smooth-ui,671
fastify/fast-json-stringify,670
mobxjs/mobx-react-boilerplate,670
sass-eyeglass/eyeglass,670
oliviertassinari/babel-plugin-transform-react-remove-prop-types,670
conorhastings/react-syntax-highlighter,670
suxiaogang/WeiboPicBed,669
hugmanrique/turbo-ws,669
AMoreaux/Sketch-Icons,669
mozilla/node-client-sessions,669
home-assistant/homebridge-homeassistant,669
rigor789/vue-scrollto,669
njleonzhang/vue-data-tables,669
EOSIO/eosjs,669
padlock/padlock,668
petermetz/cordova-plugin-ibeacon,668
wagenaartje/neataptic,668
onsip/SIP.js,668
jboss-developer/jboss-eap-quickstarts,667
s-yadav/react-number-format,667
csnover/TraceKit,666
benjamn/reify,665
jsforce/jsforce,665
markmarijnissen/cordova-app-loader,665
11ty/eleventy,664
ivmartel/dwv,664
ringo/ringojs,664
prettier/eslint-plugin-prettier,664
rtfpessoa/diff2html,663
wickedest/Mergely,663
Maddoc42/Android-Material-Icon-Generator,663
superman66/vue2.x-douban,662
MissionsAI/slapp,662
Izzimach/react-pixi,662
dylang/node-rss,662
rtivital/jsraccoon,661
inadarei/nodebootstrap,661
zalando/tailor,661
arithmetric/aws-lambda-ses-forwarder,660
sergi/jsftp,660
apache/cordova-cli,660
ForbesLindesay/connect-roles,660
sindresorhus/notifier-for-github,660
wp-shortcake/shortcake,659
yinxin630/fiora,659
SinanMtl/webpack-simple-starter,659
rubenv/angular-gettext,659
flowtype/flow-for-vscode,659
LLK/scratch-gui,658
eslint/typescript-eslint-parser,658
joequery/Stupid-Table-Plugin,658
PeakTai/vue-html5-editor,658
inProgress-team/react-native-meteor,657
QingWei-Li/vue-trend,657
graphql-boilerplates/react-fullstack-graphql,657
deepforge-dev/deepforge,657
zxlie/FeHelper,657
benmajor/jQuery-Touch-Events,656
hibiken/react-places-autocomplete,656
wxyyxc1992/fe-boilerplate,656
agragregra/optimizedhtml-start-template,654
awslabs/serverless-image-resizing,654
Pomax/bezierjs,654
shakee93/vue-toasted,654
fullstackreact/google-maps-react,654
JPCERTCC/LogonTracer,653
douglasduteil/isparta,653
hyperform/hyperform,653
therecluse26/PHP-Login,653
grpc/grpc-node,653
fullscale/elastic.js,652
hyj1991/easy-monitor,652
abdmob/x2js,652
jmoenig/Snap--Build-Your-Own-Blocks,652
danethurber/webpack-manifest-plugin,652
strathausen/dracula,651
jorgebucaran/turbocolor,651
Lothiraldan/saltpad,650
prerender/prerender-node,649
rapidjs/rapid.js,649
m-e-conroy/angular-dialog-service,649
developit/histore,649
jedireza/frame,649
JKHeadley/rest-hapi,649
newrelic/node-newrelic,648
rzcoder/node-rsa,648
Irrelon/ForerunnerDB,648
shime/livedown,648
niftylettuce/frisbee,647
LN-Zap/zap-desktop,647
alexreardon/memoize-one,647
neptunian/react-photo-gallery,647
scotch-io/node-todo,646
react-native-training/react-native-elements-app,646
lcdsantos/jQuery-Selectric,646
prograhammer/vue-pizza,646
bestofjs/bestofjs-webui,645
ivogabe/gulp-typescript,645
welkinwong/nodercms,645
olifolkerd/tabulator,643
elmasse/nextein,643
alanshaw/david-www,643
jonathan-fielding/SimpleStateManager,643
dogfessional/react-swipeable,642
kentcdodds/testing-workshop,641
eugenkiss/7guis,641
alibaba/dawn,640
aholstenson/miio,640
PrismarineJS/mineflayer,639
serverless/components,639
EYHN/hexo-helper-live2d,639
react-bootstrap/react-overlays,639
aamirafridi/jQuery.Marquee,639
prettier/prettier-atom,638
VirtoCommerce/vc-platform,638
souporserious/react-motion-ui-pack,638
hapijs/lab,638
micromatch/micromatch,638
59naga/babel-plugin-add-module-exports,638
fatlinesofcode/ngDraggable,637
Canner/slate-md-editor,637
mironov/react-redux-loading-bar,637
gmac/backbone.epoxy,637
spite/THREE.MeshLine,636
algolia/docsearch,636
klauscfhq/hyper-pokemon,636
diegohaz/awesome-react-context,636
PeculiarVentures/PKI.js,636
commissure/redbox-react,636
jmurphyau/ember-truth-helpers,636
sirensolutions/sentinl,635
jawj/OverlappingMarkerSpiderfier,635
LucasBassetti/react-simple-chatbot,635
sohobloo/react-native-modal-dropdown,634
lightswitch05/table-to-json,633
Microsoft/automatic-graph-layout,633
coinbase/gdax-node,633
zhangxinxu/Tween,633
dynamoosejs/dynamoose,633
pburtchaell/react-notification,633
nodeca/mincer,632
nodejs/readable-stream,632
truedread/netflix-1080p,631
PixelsCommander/ReactiveElements,631
glennjones/hapi-swagger,630
spirit/spirit,630
we-plugin/we-cropper,630
MoOx/pjax,630
fastmail/overture,630
DextApp/dext,630
dwmkerr/angular-modal-service,629
jneen/parsimmon,629
KeitIG/museeks,629
jackspirou/clientjs,629
APSL/react-native-button,628
benfred/venn.js,627
stalniy/casl,627
ipfs/js-ipfs-api,627
iotaledger/iota.lib.js,627
jbrooksuk/node-summary,626
firebase/emberfire,626
fmoo/react-typeahead,626
getify/native-promise-only,626
bnoordhuis/node-iconv,625
node-webot/wechat-oauth,625
tststs/atom-ternjs,625
lukechilds/reverse-shell,625
PiotrDabkowski/Js2Py,625
ysugimoto/aws-lambda-image,625
floatdrop/gulp-watch,625
webpack-contrib/less-loader,625
carloscuesta/gitmoji-cli,625
o2team/athena,625
njpatel/grpcc,624
tj/react-click-outside,624
watson-developer-cloud/speech-to-text-nodejs,624
catamphetamine/universal-webpack,623
vuegg/vuegg,623
RD17/ambar,623
GoogleChromeLabs/jsvu,623
rgbkrk/atom-script,623
niftylettuce/express-cdn,622
lukechilds/merge-images,622
peggyrayzis/react-native-create-bridge,621
IdentityModel/oidc-client-js,621
alexmacarthur/typeit,621
mozilla-neutrino/webpack-chain,620
itheima1/BlockChain,620
SurpassRabbit/ShiTu,620
mengkunsoft/MKOnlineMusicPlayer,620
globocom/megadraft,619
k0kubun/Nocturn,619
sindresorhus/gulp-autoprefixer,619
passff/passff,619
infinitered/reduxsauce,619
pouchdb/pouchdb-server,619
ghostery/ghostery-extension,618
daxiongYang/renren-fast-vue,618
Microsoft/PowerBI-visuals-core,618
lockfale/OSINT-Framework,618
dagrejs/graphlib,618
aws/aws-iot-device-sdk-js,617
fin-hypergrid/core,617
clarus/redux-ship,617
luoye-fe/goh5,617
sonnylazuardi/react-native-nike-running,617
crabbly/Print.js,616
webpack-contrib/bundle-loader,616
SumiMakito/Awesome-qr.js,616
dchest/tweetnacl-js,616
stojanovic/scottyjs,616
SabakiHQ/Sabaki,616
Azure/azure-xplat-cli,616
dwa012/html5-qrcode,616
conradoqg/naivecoin,615
ankitrohatgi/WebPlotDigitizer,615
ahmadawais/Gutenberg-Boilerplate,615
ethers-io/ethers.js,615
mullwar/telebot,615
discountry/react,615
Shopify/slate,615
yuanqing/charming,614
qooxdoo/qooxdoo,613
hparra/gulp-rename,613
iaincollins/nextjs-starter,613
keppelen/react-facebook-login,613
joaonuno/tree-model-js,613
jwhitley/requirejs-rails,613
sindresorhus/hasha,613
Ivshti/linvodb3,612
SitePen/dgrid,612
crits/crits,611
0xSobky/HackVault,611
RubyLouvre/mass-Framework,611
ghacksuserjs/ghacks-user.js,611
LeaVerou/dpi,611
mysamai/mysam,610
roeierez/infinite-list,610
peaksandpies/universal-analytics,610
GoogleChromeLabs/sample-media-pwa,609
danpaz/bodybuilder,608
coderitual/bounty,608
afeld/emoji-css,608
dli/waves,608
feross/buffer,607
lance-gg/lance,607
nebulasio/go-nebulas,607
ebidel/lighthouse-ci,606
anvaka/fieldplay,606
w0rm/gulp-svgstore,606
webpack/tapable,606
WebReflection/url-search-params,606
maputnik/editor,605
gijsroge/priority-navigation,605
node-hid/node-hid,605
ruyadorno/ipt,605
formio/formio,604
vkbansal/react-contextmenu,604
dawnlabs/alchemy,604
stephenlb/webrtc-sdk,604
spencercarli/react-native-meteor-boilerplate,604
iSparta/iSparta,604
pythonpeixun/article,604
Artificial-Engineering/lycheejs,604
amitkaps/visdown,604
ShenJianShou/crawler_samples,603
kopiro/siriwavejs,603
leejaen/react-lz-editor,603
alexbrillant/react-native-deck-swiper,603
dollarshaveclub/scrolldir,602
kkHAIKE/fake115,602
thinker3197/progressively,602
lyfeyaj/swipe,602
kentcdodds/babel-plugin-macros,602
jxnblk/repng,601
marcisme/sketch-preview,601
buglabs/node-xml2json,601
phstc/jquery-dateFormat,601
maxogden/javascript-for-cats,601
STRML/react-resizable,601
axios/moxios,601
shramov/leaflet-plugins,601
anish000kumar/redux-box,601
wxsms/uiv,600
ngokevin/kframe,599
shinnn/gulp-gh-pages,599
RefugeRestrooms/refugerestrooms,599
peterolson/BigInteger.js,598
forcedotcom/aura,598
52cik/github-hans,598
sonburn/symbol-organizer,598
libp2p/js-libp2p,597
Baremetrics/calendar,597
insin/react-maskedinput,597
google/marzipano,596
apollographql/GitHunt-API,596
LouisBarranqueiro/reapop,596
skyvow/m-mall-admin,596
C2FO/fast-csv,595
alibaba/GCanvas,595
drom/wavedrom,595
expo/expo-sdk,595
cocos-creator/engine,595
osrec/currencyFormatter.js,595
itgalaxy/favicons,594
chartify/chartify,594
swimlane/angular-data-table,594
fabienvauchelles/scrapoxy,593
acidhax/chromecast-audio-stream,593
smooth-code/error-overlay-webpack-plugin,593
firmata/firmata.js,593
checkly/puppeteer-examples,592
dwyl/hapi-auth-jwt2,592
nexus-js/ui,591
bmqb/tower_game,591
nygardk/react-share,591
azat-co/expressworks,590
docpress/docpress,590
ondras/primitive.js,590
jaredhanson/passport-google-oauth,590
bitovi/funcunit,590
Automattic/wpcom.js,589
sdkcarlos/artyom.js,589
ethereum/dapp-bin,589
bbc/VideoContext,589
wayou/HiChat,588
mapbox/supercluster,588
putaoshu/jdf,588
kzahel/web-server-chrome,587
kengz/aiva,587
bitovi/documentjs,587
vesparny/angular-kickstart,587
remy/bind.js,587
dleitee/valid.js,587
surmon-china/vue-codemirror,586
signalapp/libsignal-protocol-javascript,586
binci/binci,586
listen1/listen1_desktop,585
emilybache/GildedRose-Refactoring-Kata,584
aliyun-UED/aliyun-sdk-js,584
sindresorhus/electron-boilerplate,584
Microsoft/maker.js,583
clipperz/password-manager,583
Wildhoney/ReactShadow,583
WolframHempel/photobooth-js,583
Khan/live-editor,583
wix/import-cost,583
jamesknelson/mdxc,583
drien/jquery-flipster,583
jagi/meteor-astronomy,583
macbre/analyze-css,582
Simonwep/selection,582
mtth/avsc,582
xeolabs/scenejs,582
webpack-contrib/worker-loader,582
rain1017/memdb,581
Automattic/wp-desktop,581
asafdav/ng-csv,581
theoephraim/node-google-spreadsheet,581
google/blockly-games,581
Gillespie59/eslint-plugin-angular,581
recurly/recurly-js,581
ideal-postcodes/postcodes.io,580
btford/angular-markdown-directive,580
pouchdb-community/pouchdb-authentication,580
NV/CSSOM,580
square/duktape-android,579
juliancwirko/react-s-alert,579
pull-stream/pull-stream,579
mafintosh/pump,578
JesperLekland/react-native-svg-charts,578
beefe/react-native-actionsheet,578
villadora/express-http-proxy,578
alvarotrigo/vue-fullpage.js,578
hirokidaichi/guiflow,577
thlorenz/brace,577
reasonml-community/reason-scripts,575
iamxjb/winxin-app-watch-life.net,575
AlloyTeam/AlloyCrop,575
ziyasal/scientist.js,575
merencia/node-cron,574
rkusa/koa-passport,573
reactnativecn/react-native.cn,573
caroso1222/notyf,573
werk85/node-html-to-text,573
codefoundries/UniversalRelayBoilerplate,572
ekelokorpi/panda-engine,572
rtivital/react-things,572
drcmda/react-animated-tree,572
binaryage/dirac,572
laurihy/angular-payments,572
0x13a/bitcoin-trading-dca,571
conveyal/transitive.js,571
sindu12jun/table-dragger,571
tuupola/jquery_chained,571
brownplt/pyret-lang,571
uber/react-digraph,571
jkphl/gulp-svg-sprite,571
PanJiaChen/electron-vue-admin,570
ethereum/remix,570
teambition/then.js,570
headsetapp/headset-electron,570
algolia/algoliasearch-client-javascript,570
zewish/rmodal.js,569
overdodactyl/ShadowFox,569
pivotal-cf/pivotal-ui,569
rweng/jquery-datatables-rails,569
aptana/studio3,569
tomoya92/pybbs,568
thierryc/Sketch-Find-And-Replace,567
CyberMonitor/APT_CyberCriminal_Campagin_Collections,567
instea/react-native-popup-menu,567
jindw/xmldom,566
folivoraAI/BetterTouchTool,566
mfrachet/rn-placeholder,566
servocoder/RichFilemanager,566
desmondmorris/node-tesseract,565
mwilliamson/mammoth.js,565
patriciogonzalezvivo/glslEditor,565
diegoddox/react-redux-toastr,565
adobe-photoshop/generator-core,564
binoculars/aws-lambda-ffmpeg,563
indutny/elliptic,563
0rpc/zerorpc-node,563
byte-foundry/plumin.js,563
Microsoft/VoTT,562
krakenjs/kappa,562
archriss/react-native-render-html,561
GoogleChrome/devsummit,561
mxstbr/micro-github,561
phith0n/Minos,561
waynecz/dadda-translate-crx,561
moaazsidat/react-native-qrcode-scanner,561
